# 512^2 radial Temperature Profile at t = 2.03*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
122	 0.2363300000	1.9952442646026611
123	 0.2382800000	1.996425986289978
124	 0.2402300000	1.9974398612976074
125	 0.2421900000	1.9982856512069702
126	 0.2441400000	1.998962640762329
127	 0.2460900000	1.9994707107543945
128	 0.2480500000	1.9998095035552979
129	 0.2500000000	1.9999788999557495
130	 0.2519500000	1.99997878074646
131	 0.2539100000	1.9998090267181396
132	 0.2558600000	1.9994698762893677
133	 0.2578100000	1.9989615678787231
134	 0.2597700000	1.998284101486206
135	 0.2617200000	1.9974380731582642
136	 0.2636700000	1.9964238405227661
137	 0.2656300000	1.9952417612075806
138	 0.2675800000	1.9938926696777344
139	 0.2695300000	1.9923771619796753
140	 0.2714800000	1.9906959533691406
141	 0.2734400000	1.9888498783111572
142	 0.2753900000	1.986840009689331
143	 0.2773400000	1.984667181968689
144	 0.2793000000	1.982332706451416
145	 0.2812500000	1.9798375368118286
146	 0.2832000000	1.9771829843521118
147	 0.2851600000	1.9743704795837402
148	 0.2871100000	1.971401333808899
149	 0.2890600000	1.968277096748352
150	 0.2910200000	1.9649991989135742
151	 0.2929700000	1.9615694284439087
152	 0.2949200000	1.9579894542694092
153	 0.2968800000	1.9542609453201294
154	 0.2988300000	1.9503858089447021
155	 0.3007800000	1.9463659524917603
156	 0.3027300000	1.942203402519226
157	 0.3046900000	1.9379000663757324
158	 0.3066400000	1.9334582090377808
159	 0.3085900000	1.928879737854004
160	 0.3105500000	1.9241671562194824
161	 0.3125000000	1.9193224906921387
162	 0.3144500000	1.9143482446670532
163	 0.3164100000	1.909246802330017
164	 0.3183600000	1.9040205478668213
165	 0.3203100000	1.8986718654632568
166	 0.3222700000	1.8932033777236938
167	 0.3242200000	1.8876177072525024
168	 0.3261700000	1.8819174766540527
169	 0.3281300000	1.8761053085327148
170	 0.3300800000	1.8701838254928589
171	 0.3320300000	1.864155888557434
172	 0.3339800000	1.8580242395401
173	 0.3359400000	1.8517916202545166
174	 0.3378900000	1.8454608917236328
175	 0.3398400000	1.8390350341796875
176	 0.3418000000	1.8325167894363403
177	 0.3437500000	1.8259092569351196
178	 0.3457000000	1.819215178489685
179	 0.3476600000	1.8124375343322754
180	 0.3496100000	1.8055795431137085
181	 0.3515600000	1.798643946647644
182	 0.3535200000	1.7916338443756104
183	 0.3554700000	1.7845522165298462
184	 0.3574200000	1.7774021625518799
185	 0.3593800000	1.7701866626739502
186	 0.3613300000	1.762908697128296
187	 0.3632800000	1.7555714845657349
188	 0.3652300000	1.7481780052185059
189	 0.3671900000	1.7407312393188477
190	 0.3691400000	1.7332342863082886
191	 0.3710900000	1.7256901264190674
192	 0.3730500000	1.7181018590927124
193	 0.3750000000	1.7104724645614624
194	 0.3769500000	1.7028049230575562
