# 512^2 radial Temperature Profile at t = 2.03*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
180	 0.3496100000	1.8316665887832642
181	 0.3515600000	1.823869228363037
182	 0.3535200000	1.8157775402069092
183	 0.3554700000	1.8073958158493042
184	 0.3574200000	1.7987291812896729
185	 0.3593800000	1.7897839546203613
186	 0.3613300000	1.7805681228637695
187	 0.3632800000	1.7710903882980347
188	 0.3652300000	1.7613611221313477
189	 0.3671900000	1.7513923645019531
190	 0.3691400000	1.7411972284317017
191	 0.3710900000	1.7307904958724976
192	 0.3730500000	1.720188856124878
193	 0.3750000000	1.709410309791565
194	 0.3769500000	1.698474407196045
195	 0.3789100000	1.6874024868011475
196	 0.3808600000	1.6762174367904663
197	 0.3828100000	1.6649434566497803
198	 0.3847700000	1.6536065340042114
199	 0.3867200000	1.6422332525253296
200	 0.3886700000	1.6308518648147583
201	 0.3906300000	1.6194911003112793
202	 0.3925800000	1.6081805229187012
203	 0.3945300000	1.5969499349594116
204	 0.3964800000	1.5858290195465088
205	 0.3984400000	1.5748475790023804
206	 0.4003900000	1.5640345811843872
207	 0.4023400000	1.5534180402755737
208	 0.4043000000	1.543025016784668
209	 0.4062500000	1.5328807830810547
210	 0.4082000000	1.523008942604065
211	 0.4101600000	1.513431191444397
212	 0.4121100000	1.504166841506958
213	 0.4140600000	1.4952328205108643
214	 0.4160200000	1.4866437911987305
215	 0.4179700000	1.4784116744995117
216	 0.4199200000	1.4705458879470825
217	 0.4218800000	1.4630531072616577
218	 0.4238300000	1.4559377431869507
219	 0.4257800000	1.4492015838623047
220	 0.4277300000	1.442844271659851
221	 0.4296900000	1.4368633031845093
222	 0.4316400000	1.4312540292739868
223	 0.4335900000	1.4260101318359375
224	 0.4355500000	1.4211235046386719
225	 0.4375000000	1.4165847301483154
226	 0.4394500000	1.4123830795288086
227	 0.4414100000	1.4085066318511963
228	 0.4433600000	1.4049428701400757
229	 0.4453100000	1.4016780853271484
230	 0.4472700000	1.3986985683441162
231	 0.4492200000	1.3959896564483643
232	 0.4511700000	1.3935366868972778
233	 0.4531300000	1.3913249969482422
234	 0.4550800000	1.3893394470214844
235	 0.4570300000	1.3875653743743896
236	 0.4589800000	1.3859879970550537
237	 0.4609400000	1.3845930099487305
238	 0.4628900000	1.3833662271499634
239	 0.4648400000	1.3822935819625854
240	 0.4668000000	1.3813618421554565
241	 0.4687500000	1.3805580139160156
242	 0.4707000000	1.3798694610595703
243	 0.4726600000	1.3792845010757446
244	 0.4746100000	1.3787919282913208
245	 0.4765600000	1.378381609916687
246	 0.4785200000	1.3780438899993896
247	 0.4804700000	1.3777705430984497
248	 0.4824200000	1.3775538206100464
249	 0.4843800000	1.3773863315582275
250	 0.4863300000	1.3772611618041992
251	 0.4882800000	1.377171277999878
252	 0.4902300000	1.3771098852157593
253	 0.4921900000	1.3770699501037598
254	 0.4941400000	1.3770453929901123
255	 0.4960900000	1.377029299736023
256	 0.4980500000	1.3770164251327515
257	 0.5000000000	1.3770095109939575
