# 128^2 radial Temperature Profile at t = 0.14*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
1	 0.0000000000	1.2649574279785156
2	 0.0078125000	1.2649574279785156
3	 0.0156250000	1.2850677967071533
4	 0.0234380000	1.3083889484405518
5	 0.0312500000	1.3332244157791138
6	 0.0390630000	1.3592758178710938
7	 0.0468750000	1.3864094018936157
8	 0.0546880000	1.41452157497406
9	 0.0625000000	1.4435099363327026
10	 0.0703130000	1.4732645750045776
11	 0.0781250000	1.5036653280258179
12	 0.0859380000	1.5345804691314697
13	 0.0937500000	1.5658668279647827
14	 0.1015600000	1.5973700284957886
15	 0.1093800000	1.6289259195327759
16	 0.1171900000	1.6603606939315796
17	 0.1250000000	1.691493272781372
18	 0.1328100000	1.72213613986969
19	 0.1406300000	1.752097725868225
20	 0.1484400000	1.7811836004257202
21	 0.1562500000	1.8091990947723389
22	 0.1640600000	1.8359508514404297
23	 0.1718800000	1.8612499237060547
24	 0.1796900000	1.8849127292633057
25	 0.1875000000	1.906764268875122
26	 0.1953100000	1.9266399145126343
27	 0.2031300000	1.944387435913086
28	 0.2109400000	1.9598686695098877
29	 0.2187500000	1.9729619026184082
30	 0.2265600000	1.9835630655288696
31	 0.2343800000	1.9915871620178223
32	 0.2421900000	1.99696946144104
33	 0.2500000000	1.9996663331985474
34	 0.2578100000	1.9996557235717773
35	 0.2656300000	1.9969377517700195
36	 0.2734400000	1.9915343523025513
37	 0.2812500000	1.9834892749786377
38	 0.2890600000	1.9728672504425049
39	 0.2968800000	1.959753394126892
40	 0.3046900000	1.9442517757415771
41	 0.3125000000	1.9264841079711914
42	 0.3203100000	1.9065885543823242
43	 0.3281300000	1.884717345237732
44	 0.3359400000	1.8610352277755737
45	 0.3437500000	1.8357170820236206
46	 0.3515600000	1.808946132659912
47	 0.3593800000	1.7809118032455444
48	 0.3671900000	1.7518070936203003
49	 0.3750000000	1.721826434135437
50	 0.3828100000	1.6911640167236328
51	 0.3906300000	1.6600115299224854
52	 0.3984400000	1.6285557746887207
53	 0.4062500000	1.596977710723877
54	 0.4140600000	1.5654503107070923
55	 0.4218800000	1.5341370105743408
56	 0.4296900000	1.5031909942626953
57	 0.4375000000	1.4727537631988525
58	 0.4453100000	1.4429545402526855
59	 0.4531300000	1.4139093160629272
60	 0.4609400000	1.38572096824646
61	 0.4687500000	1.3584785461425781
62	 0.4765600000	1.3322577476501465
63	 0.4843800000	1.3071205615997314
64	 0.4921900000	1.2831162214279175
65	 0.5000000000	1.260280966758728
