# 128^2 radial Temperature Profile at t = 0.14*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
1	 0.0000000000	1.4877638816833496
2	 0.0078125000	1.4877638816833496
3	 0.0156250000	1.487808346748352
4	 0.0234380000	1.4880133867263794
5	 0.0312500000	1.4885927438735962
6	 0.0390630000	1.4898617267608643
7	 0.0468750000	1.492234230041504
8	 0.0546880000	1.496215581893921
9	 0.0625000000	1.5023897886276245
10	 0.0703130000	1.5113953351974487
11	 0.0781250000	1.5238866806030273
12	 0.0859380000	1.540474772453308
13	 0.0937500000	1.5616406202316284
14	 0.1015600000	1.5876193046569824
15	 0.1093800000	1.6182684898376465
16	 0.1171900000	1.652953028678894
17	 0.1250000000	1.6905080080032349
18	 0.1328100000	1.7293310165405273
19	 0.1406300000	1.7676128149032593
20	 0.1484400000	1.8036388158798218
21	 0.1562500000	1.836051106452942
22	 0.1640600000	1.8639910221099854
23	 0.1718800000	1.8871099948883057
24	 0.1796900000	1.9054850339889526
25	 0.1875000000	1.9194961786270142
26	 0.1953100000	1.9297057390213013
27	 0.2031300000	1.9367642402648926
28	 0.2109400000	1.9413435459136963
29	 0.2187500000	1.9440882205963135
30	 0.2265600000	1.9455841779708862
31	 0.2343800000	1.9463300704956055
32	 0.2421900000	1.9467304944992065
33	 0.2500000000	1.9469728469848633
34	 0.2578100000	1.946932315826416
35	 0.2656300000	1.946757435798645
36	 0.2734400000	1.9462811946868896
37	 0.2812500000	1.9452427625656128
38	 0.2890600000	1.9432801008224487
39	 0.2968800000	1.9399343729019165
40	 0.3046900000	1.9346681833267212
41	 0.3125000000	1.9268995523452759
42	 0.3203100000	1.9160504341125488
43	 0.3281300000	1.9016047716140747
44	 0.3359400000	1.88316810131073
45	 0.3437500000	1.8605170249938965
46	 0.3515600000	1.8336280584335327
47	 0.3593800000	1.802682638168335
48	 0.3671900000	1.7680530548095703
49	 0.3750000000	1.7302826642990112
50	 0.3828100000	1.690077543258667
51	 0.3906300000	1.6483126878738403
52	 0.3984400000	1.6060407161712646
53	 0.4062500000	1.5644755363464355
54	 0.4140600000	1.524915337562561
55	 0.4218800000	1.488595724105835
56	 0.4296900000	1.456501841545105
57	 0.4375000000	1.4292100667953491
58	 0.4453100000	1.4068278074264526
59	 0.4531300000	1.3890544176101685
60	 0.4609400000	1.3753355741500854
61	 0.4687500000	1.3650506734848022
62	 0.4765600000	1.357664704322815
63	 0.4843800000	1.352817177772522
64	 0.4921900000	1.350439429283142
65	 0.5000000000	1.3493657112121582
