# 256^2 radial Temperature Profile at t = 0.59*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
1	 0.0000000000	1.2570799589157104
2	 0.0039063000	1.2570799589157104
3	 0.0078125000	1.266838788986206
4	 0.0117190000	1.2779158353805542
5	 0.0156250000	1.2894781827926636
6	 0.0195310000	1.3013973236083984
7	 0.0234380000	1.3136332035064697
8	 0.0273440000	1.3261661529541016
9	 0.0312500000	1.3389835357666016
10	 0.0351560000	1.3520749807357788
11	 0.0390630000	1.3654305934906006
12	 0.0429690000	1.3790404796600342
13	 0.0468750000	1.3928945064544678
14	 0.0507810000	1.4069817066192627
15	 0.0546880000	1.4212905168533325
16	 0.0585940000	1.435808777809143
17	 0.0625000000	1.4505232572555542
18	 0.0664060000	1.465420126914978
19	 0.0703130000	1.4804848432540894
20	 0.0742190000	1.4957019090652466
21	 0.0781250000	1.5110549926757812
22	 0.0820310000	1.5265271663665771
23	 0.0859380000	1.5421007871627808
24	 0.0898440000	1.5577572584152222
25	 0.0937500000	1.5734773874282837
26	 0.0976560000	1.5892412662506104
27	 0.1015600000	1.6050286293029785
28	 0.1054700000	1.620818018913269
29	 0.1093800000	1.6365880966186523
30	 0.1132800000	1.6523165702819824
31	 0.1171900000	1.6679807901382446
32	 0.1210900000	1.6835577487945557
33	 0.1250000000	1.699023962020874
34	 0.1289100000	1.7143558263778687
35	 0.1328100000	1.7295291423797607
36	 0.1367200000	1.7445200681686401
37	 0.1406300000	1.7593039274215698
38	 0.1445300000	1.7738566398620605
39	 0.1484400000	1.788153886795044
40	 0.1523400000	1.8021711111068726
41	 0.1562500000	1.8158843517303467
42	 0.1601600000	1.829269528388977
43	 0.1640600000	1.8423030376434326
44	 0.1679700000	1.8549615144729614
45	 0.1718800000	1.8672220706939697
46	 0.1757800000	1.8790621757507324
47	 0.1796900000	1.8904600143432617
48	 0.1835900000	1.9013941287994385
49	 0.1875000000	1.9118441343307495
50	 0.1914100000	1.9217900037765503
51	 0.1953100000	1.9312126636505127
52	 0.1992200000	1.940093994140625
53	 0.2031300000	1.9484167098999023
54	 0.2070300000	1.9561644792556763
55	 0.2109400000	1.9633221626281738
56	 0.2148400000	1.969875454902649
57	 0.2187500000	1.97581148147583
58	 0.2226600000	1.9811183214187622
59	 0.2265600000	1.9857852458953857
60	 0.2304700000	1.9898030757904053
61	 0.2343800000	1.9931634664535522
62	 0.2382800000	1.9958597421646118
63	 0.2421900000	1.9978864192962646
64	 0.2460900000	1.9992393255233765
65	 0.2500000000	1.9999159574508667
66	 0.2539100000	1.999914526939392
67	 0.2578100000	1.9992353916168213
68	 0.2617200000	1.9978797435760498
69	 0.2656300000	1.9958504438400269
70	 0.2695300000	1.9931515455245972
71	 0.2734400000	1.98978853225708
72	 0.2773400000	1.9857680797576904
73	 0.2812500000	1.9810985326766968
74	 0.2851600000	1.9757890701293945
75	 0.2890600000	1.9698505401611328
76	 0.2929700000	1.9632946252822876
77	 0.2968800000	1.9561344385147095
78	 0.3007800000	1.9483840465545654
79	 0.3046900000	1.9400588274002075
80	 0.3085900000	1.9311749935150146
81	 0.3125000000	1.9217497110366821
82	 0.3164100000	1.9118014574050903
83	 0.3203100000	1.9013490676879883
84	 0.3242200000	1.8904123306274414
85	 0.3281300000	1.879012107849121
86	 0.3320300000	1.8671696186065674
87	 0.3359400000	1.854906678199768
88	 0.3398400000	1.8422458171844482
89	 0.3437500000	1.829209804534912
90	 0.3476600000	1.8158222436904907
91	 0.3515600000	1.8021067380905151
92	 0.3554700000	1.788087010383606
93	 0.3593800000	1.7737876176834106
94	 0.3632800000	1.759232521057129
95	 0.3671900000	1.7444461584091187
96	 0.3710900000	1.7294529676437378
97	 0.3750000000	1.7142771482467651
98	 0.3789100000	1.6989428997039795
99	 0.3828100000	1.6834741830825806
100	 0.3867200000	1.667894721031189
101	 0.3906300000	1.6522279977798462
102	 0.3945300000	1.636496901512146
103	 0.3984400000	1.6207242012023926
104	 0.4023400000	1.6049319505691528
105	 0.4062500000	1.5891417264938354
106	 0.4101600000	1.5733747482299805
107	 0.4140600000	1.5576515197753906
108	 0.4179700000	1.5419917106628418
109	 0.4218800000	1.5264145135879517
110	 0.4257800000	1.5109384059906006
111	 0.4296900000	1.495581030845642
112	 0.4335900000	1.4803595542907715
113	 0.4375000000	1.465289831161499
114	 0.4414100000	1.4503873586654663
115	 0.4453100000	1.435666561126709
116	 0.4492200000	1.421141266822815
117	 0.4531300000	1.4068243503570557
118	 0.4570300000	1.3927276134490967
119	 0.4609400000	1.3788623809814453
120	 0.4648400000	1.3652387857437134
121	 0.4687500000	1.3518664836883545
122	 0.4726600000	1.3387539386749268
123	 0.4765600000	1.325908899307251
124	 0.4804700000	1.3133383989334106
125	 0.4843800000	1.3010485172271729
126	 0.4882800000	1.2890446186065674
127	 0.4921900000	1.2773312330245972
128	 0.4960900000	1.2659120559692383
129	 0.5000000000	1.2547903060913086
