# 64^2 radial Temperature Profile at t = 0.04*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
1	 0.0000000000	1.4952553510665894
2	 0.0156250000	1.4952553510665894
3	 0.0312500000	1.4959125518798828
4	 0.0468750000	1.4989309310913086
5	 0.0625000000	1.5073987245559692
6	 0.0781250000	1.525603175163269
7	 0.0937500000	1.558260440826416
8	 0.1093800000	1.6086103916168213
9	 0.1250000000	1.6751279830932617
10	 0.1406300000	1.749197244644165
11	 0.1562500000	1.8183073997497559
12	 0.1718800000	1.8729687929153442
13	 0.1875000000	1.910094976425171
14	 0.2031300000	1.931631088256836
15	 0.2187500000	1.9420878887176514
16	 0.2343800000	1.9464408159255981
17	 0.2500000000	1.9488551616668701
18	 0.2656300000	1.9485316276550293
19	 0.2812500000	1.9467053413391113
20	 0.2968800000	1.9411569833755493
21	 0.3125000000	1.928443193435669
22	 0.3281300000	1.9044713973999023
23	 0.3437500000	1.866142749786377
24	 0.3593800000	1.813370943069458
25	 0.3750000000	1.7494934797286987
26	 0.3906300000	1.6793372631072998
27	 0.4062500000	1.607047438621521
28	 0.4218800000	1.5355870723724365
29	 0.4375000000	1.467595100402832
30	 0.4531300000	1.4063129425048828
31	 0.4687500000	1.355931282043457
32	 0.4843800000	1.323235034942627
33	 0.5000000000	1.3163425922393799
